,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,第 0 级,妙蛙种子,小火龙,杰尼龟,伊布,多边兽,卡比兽,菊草叶,火球鼠,小锯鳄,波克比,无畏小子,木守宫,火稚鸡,水跃鱼,脱壳忍者,铁哑铃,草苗龟
,50分,小火焰猴,波加曼,利欧路,洛托姆,藤藤蛇,暖暖猪,水水獭,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,第 1 级,吉利蛋,袋兽,飞天螳螂,凯罗斯,树才怪,盔甲鸟,蘑蘑菇,懒人獭,向尾喵,正电拍拍,负电拍拍,溶食兽,飘浮泡泡,阿勃梭鲁,结草儿,三蜜蜂,樱花宝
,45分,花岩怪,钳尾蝎,尖牙笼,花椰猴,爆香猴,冷水猴,螺钉地鼠,差不多娃娃,鸭宝宝,电飞鼠,保姆曼波,燃烧虫,,,,,
,,,,,,,,,,,,,,,,,,
,第 2 级,皮皮,大舌贝,魔墙人偶,拉普拉斯,菊石兽,化石盔,化石翼龙,长尾怪手,榛果球,千针鱼,壶壶,太阳珊瑚,戴鲁比,大奶罐,拉鲁拉丝,土居忍士,触手百合
,40分,太古羽虫,丑丑鱼,古空棘鱼,宝贝龙,头盖龙,盾甲龙,原盖海龟,始祖小鸟,索罗亚,驹刀小兵,,,,,,,
,,,,,,,,,,,,,,,,,,
,第 3 级,六尾,卡蒂狗,大葱鸭,蛋蛋,海星星,迷唇姐,鸭嘴火兽,肯泰罗,迷你龙,尾立,芭瓢虫,向日种子,蜻蜻蜓,黑暗鸦,梦妖,天蝎,赫拉克罗斯
,30分,铁炮鱼,信使鸟,巨翅飞鱼,朝北鼻,电萤虫,甜甜萤,利牙鱼,吼吼鲸,沙漠奈亚,猫鼬斩,饭匙蛇,泥泥鳅,变隐龙,热带龙,风铃铃,爱心鱼,飘飘球
,,臭鼬噗,聒噪鸟,圆陆鲨,不良蛙,荧光鱼,火红不倒翁,沙铃仙人掌,象征鸟,几何雪花,,,,,,,,
,,,,,,,,,,,,,,,,,,
,第 4 级,走路草,毛球,喵喵,催眠貘,电击兽,咕咕,圆丝蛛,乌波,布鲁,狃拉,幼基拉斯,莲叶童子,溜溜糖球,晃晃斑,大颚蚁,月石,龙虾小兵
,15分,圆法师,帕奇利兹,卷卷耳,扒手猫,豆豆鸽,滑滑小子,牙牙,爆炸头水牛,毛头小鹰,熔蚁兽,单首龙,,,,,,
,,,,,,,,,,,,,,,,,,
,第 5 级,绿毛虫,独角虫,皮卡丘,尼多朗,胖丁,派拉斯,喇叭芽,墨海马,天然雀,毽子草,熊宝宝,刺尾虫,傲骨燕,呆火驼,青绵鸟,雪童子,姆克儿
,10分,沙河马,小约克,搬运小匠,投摔鬼,打击鬼,百足蜈蚣,木棉球,百合根娃娃,石居蟹,破破袋,盖盖虫,哎呀球菇,电电虫,种子铁球,麻麻小鱼,喷嚏熊,小嘴蜗
,,,,,,,,,,,,,,,,,,
,第 6 级,波波,烈雀,阿柏蛇,尼多兰,地鼠,猴怪,凯西,小火马,嘟嘟,臭泥,卡拉卡拉,大舌头,蔓藤怪,百变怪,灯笼鱼,咩利羊,熔岩虫
,5分,小小象,惊角鹿,土狼犬,蛇纹熊,长翅鸥,咕妞妞,幕下力士,勾魂眼,大嘴娃,可拉可拉,落雷兽,毒蔷薇,跳跳猪,太阳岩,珍珠贝,大牙狸,小猫怪
,,雪笠怪,探探鼠,食梦梦,斑斑马,石丸子,滚滚蝙蝠,圆蝌蚪,虫宝包,泡沫栗鼠,哥德宝宝,单卵细胞球,迷你冰,齿轮儿,小灰怪,泥巴鱼,赤面龙,秃鹰丫头
,,铁蚁,,,,,,,,,,,,,,,,
,第7级,小拉达,穿山鼠,超音蝠,可达鸭,蚊香蝌蚪,腕力,玛瑙水母,小拳石,呆呆兽,小磁怪,小海狮,鬼斯,大岩蛇,大钳蟹,霹雳电球,瓦斯弹,独角犀牛
,3分,角金鱼,鲤鱼王,玛力露,未知图腾,果然翁,麒麟奇,土龙弟弟,小山猪,图图犬,橡实果,玛沙那,煤炭龟,天秤偶,怨影娃娃,夜巡灵,海豹球,泳圈鼬
,,无壳海兔,魅力喵,铜镜怪,野蛮鲈鱼,黑眼鳄,哭哭面具,四季鹿,轻飘飘,烛光灵,功夫鼬,泥偶小人,,,,,,
